127.0.0.1 - - [07/Jul/2016:12:55:25 +0100] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Jul/2016:12:55:27 +0100] "GET /WebServerTestClient/sampleHelloProxy/Result.jsp HTTP/1.1" 200 118
127.0.0.1 - - [07/Jul/2016:12:55:27 +0100] "GET /WebServerTestClient/sampleHelloProxy/Method.jsp HTTP/1.1" 200 429
127.0.0.1 - - [07/Jul/2016:12:55:27 +0100] "GET /WebServerTestClient/sampleHelloProxy/Input.jsp HTTP/1.1" 200 127
127.0.0.1 - - [07/Jul/2016:12:55:27 +0100] "GET /WebServerTestClient/sampleHelloProxy/TestClient.jsp HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [07/Jul/2016:12:55:28 +0100] "GET /WebServerTestClient/sampleHelloProxy/TestClient.jsp?endpoint=http://localhost:14323/WebServerTest/services/Hello HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [07/Jul/2016:12:55:28 +0100] "GET /WebServerTestClient/sampleHelloProxy/Method.jsp HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [07/Jul/2016:12:55:28 +0100] "GET /WebServerTestClient/sampleHelloProxy/Input.jsp HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [07/Jul/2016:12:55:28 +0100] "GET /WebServerTestClient/sampleHelloProxy/Result.jsp?endpoint=http://localhost:14323/WebServerTest/services/Hello& HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [07/Jul/2016:12:58:18 +0100] "GET /WebServerTestClient/sampleHelloProxy/Input.jsp?method=13 HTTP/1.1" 200 434
127.0.0.1 - - [07/Jul/2016:12:58:31 +0100] "POST /WebServerTest/services/Hello HTTP/1.0" 200 375
0:0:0:0:0:0:0:1 - - [07/Jul/2016:12:58:31 +0100] "POST /WebServerTestClient/sampleHelloProxy/Result.jsp HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [07/Jul/2016:13:46:09 +0100] "GET /WebServerTestClient/sampleHelloProxy/Input.jsp?method=2 HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [07/Jul/2016:13:46:10 +0100] "POST /WebServerTestClient/sampleHelloProxy/Result.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [07/Jul/2016:13:47:03 +0100] "GET /WebServerTestClient/sampleHelloProxy/TestClient.jsp?endpoint=http://localhost:14323/WebServerTest/services/Hello HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [07/Jul/2016:13:47:03 +0100] "GET /WebServerTestClient/sampleHelloProxy/Method.jsp HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [07/Jul/2016:13:47:03 +0100] "GET /WebServerTestClient/sampleHelloProxy/Input.jsp HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [07/Jul/2016:13:47:03 +0100] "GET /WebServerTestClient/sampleHelloProxy/Result.jsp?endpoint=http://localhost:14323/WebServerTest/services/Hello& HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [07/Jul/2016:13:47:03 +0100] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Jul/2016:13:47:03 +0100] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Jul/2016:13:47:09 +0100] "GET /WebServerTestClient/sampleHelloProxy/Input.jsp?method=13 HTTP/1.1" 200 434
127.0.0.1 - - [07/Jul/2016:13:47:14 +0100] "POST /WebServerTest/services/Hello HTTP/1.0" 200 373
0:0:0:0:0:0:0:1 - - [07/Jul/2016:13:47:14 +0100] "POST /WebServerTestClient/sampleHelloProxy/Result.jsp HTTP/1.1" 200 133
127.0.0.1 - - [07/Jul/2016:13:52:27 +0100] "GET /WebServerTestClient/sampleHelloProxy/ HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [07/Jul/2016:13:53:22 +0100] "GET /WebServerTestClient/sampleHelloProxy/TestClient.jsp?endpoint=http://localhost:14323/WebServerTest/services/Hello HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [07/Jul/2016:13:53:22 +0100] "GET /WebServerTestClient/sampleHelloProxy/Method.jsp HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [07/Jul/2016:13:53:22 +0100] "GET /WebServerTestClient/sampleHelloProxy/Input.jsp HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [07/Jul/2016:13:53:22 +0100] "GET /WebServerTestClient/sampleHelloProxy/Result.jsp?endpoint=http://localhost:14323/WebServerTest/services/Hello& HTTP/1.1" 200 118
127.0.0.1 - - [07/Jul/2016:13:53:32 +0100] "GET /WebServerTest/services/Hello HTTP/1.1" 200 129
127.0.0.1 - - [07/Jul/2016:13:53:32 +0100] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [07/Jul/2016:13:53:32 +0100] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [07/Jul/2016:13:54:13 +0100] "GET /WebServerTest/services HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [07/Jul/2016:13:55:08 +0100] "GET /WebServerTest/services/Hello?wsdl HTTP/1.1" 200 2413
0:0:0:0:0:0:0:1 - - [07/Jul/2016:13:55:21 +0100] "GET /WebServerTest/services/AdminService?wsdl HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [07/Jul/2016:13:55:48 +0100] "GET /WebServerTest/services/Hello?wsdl HTTP/1.1" 200 2413
